rule,name,value
ruler_291_r,differential,0
ruler_292_r,differential,0
ruler_293_r,differential,1.001
ruler_294_r,differential,0.8979999999999997
ruler_295_r,differential,-0.8979999999999997
ruler_296_r,differential,-0.8979999999999997
ruler_297_r,differential,0.8979999999999997
ruler_298_r,differential,1.8989999999999996
ruler_299_r,differential,1.8989999999999996
ruler_300_r,differential,1.8989999999999996
ruler_301_r,differential,1.8989999999999996
ruler_302_r,differential,0.1030000000000002
ruler_303_r,differential,0.1030000000000002
ruler_304_r,differential,0.8979999999999997
ruler_305_r,differential,0.8979999999999997
ruler_306_r,differential,0.8979999999999997
ruler_307_r,differential,0.8979999999999997
ruler_308_r,differential,0.8979999999999997
ruler_309_r,differential,0.8979999999999997
ruler_310_r,differential,0
ruler_311_r,differential,0
ruler_312_r,differential,0
ruler_313_r,differential,0
ruler_314_r,differential,0
ruler_315_r,differential,0
ruler_316_r,differential,0
ruler_317_r,differential,0
ruler_318_r,differential,0
ruler_319_r,differential,0
ruler_320_r,differential,0
ruler_321_r,differential,0
ruler_322_r,differential,0
ruler_323_r,differential,0
ruler_324_r,differential,0
ruler_325_r,differential,0
ruler_326_r,differential,0
ruler_327_r,differential,0
ruler_328_r,differential,0
ruler_329_r,differential,0
ruler_330_r,differential,0
ruler_331_r,differential,0
ruler_332_r,differential,0
ruler_333_r,differential,0
ruler_334_r,differential,0
ruler_335_r,differential,0
ruler_336_r,differential,0.8979999999999997
ruler_337_r,differential,1.001
ruler_338_r,differential,1.001
ruler_339_r,differential,1.001
ruler_340_r,differential,-1.001
ruler_341_r,differential,-1.001
ruler_342_r,differential,1.001
ruler_343_r,differential,1.001
ruler_344_r,differential,1.001
ruler_345_r,differential,0
ruler_346_r,differential,0
ruler_347_r,differential,0.1030000000000002
ruler_348_r,differential,0.1030000000000002
ruler_349_r,differential,1.001
ruler_350_r,differential,1.001
ruler_351_r,differential,1.001
ruler_352_r,differential,1.001
ruler_353_r,differential,1.104
ruler_354_r,differential,1.104
ruler_355_r,differential,-1.2080000000000002
ruler_356_r,differential,1.2080000000000002
ruler_357_r,differential,0
ruler_358_r,differential,0
ruler_359_r,differential,0
ruler_360_r,differential,0
ruler_361_r,differential,0
ruler_362_r,differential,0
ruler_363_r,differential,0
ruler_364_r,differential,0
ruler_365_r,differential,0
ruler_366_r,differential,0
ruler_367_r,differential,0
ruler_368_r,differential,0
ruler_369_r,differential,0
